mean,std,min,max,episode
0.9997188399999999,0.004584178977134291,0.91,1.0,0
0.999718747984046,0.004584173975598714,0.91,1.0,1
0.9997187500000001,0.004584173691899118,0.91,1.0,2
0.99971875,0.0045841736918991165,0.91,1.0,3
0.9997187499032321,0.004584173685968052,0.91,1.0,4
0.9997171775198452,0.00461720155120588,0.9093519999999999,1.0,5
0.9997186895191947,0.004584172278925811,0.91,1.0,6
0.999718737904,0.004584175073955097,0.91,1.0,7
0.9997187356862699,0.004584172923148361,0.91,1.0,8
0.99971875,0.004584173691899117,0.91,1.0,9
0.9997187500000001,0.004584173691899117,0.91,1.0,10
0.9997187500000001,0.0045841736918991564,0.9099999999999993,1.0,11
0.999718749999355,0.004584173691859545,0.91,1.0,12
0.9997187471372433,0.0045841735206393905,0.91,1.0,13
0.9997187471372433,0.0045841735206393905,0.91,1.0,14
0.9997124499999928,0.00461818286748108,0.91,1.0,15
0.9997187499967743,0.004584173691701228,0.91,1.0,16
0.9997172379999948,0.00461593977951978,0.9093519999999999,1.0,17
0.9997187499838719,0.004584173690909857,0.91,1.0,18
0.99971875,0.004584173691899118,0.91,1.0,19
0.999718739903872,0.004584175114957434,0.91,1.0,20
0.99971875,0.004584173691899117,0.91,1.0,21
0.9997187500000001,0.004584173691899117,0.91,1.0,22
0.9997187500000001,0.004584173691899117,0.91,1.0,23
0.99971749,0.0045854770765864665,0.91,1.0,24
0.99971873992,0.004584173161842958,0.91,1.0,25
0.9997187499838721,0.004584173690909854,0.91,1.0,26
0.9997187499967743,0.004584173691701228,0.91,1.0,27
0.9997124475806709,0.0046181827206211315,0.9099999999999998,1.0,28
0.9997187495968,0.004584173667303237,0.91,1.0,29
0.999718749999871,0.004584173691891203,0.91,1.0,30
0.99971875,0.004584173691899116,0.91,1.0,31
0.99971875,0.004584173691899117,0.91,1.0,32
0.99971875,0.004584173691899117,0.91,1.0,33
0.9997174899999948,0.004585477076586151,0.91,1.0,34
0.9997171765120001,0.004617208627282956,0.9093519999999999,1.0,35
0.9997187474824192,0.00458417362256081,0.91,1.0,36
0.9997187499999999,0.004584173691899102,0.91,1.0,37
0.99971875,0.004584173691899117,0.91,1.0,38
0.9997187475800259,0.0045841735472396655,0.91,1.0,39
0.99971875,0.004584173691899117,0.91,1.0,40
0.9997187500000001,0.004584173691899117,0.91,1.0,41
0.9997187378233598,0.004584175150428849,0.91,1.0,42
0.9997187499999737,0.004584173691897506,0.91,1.0,43
0.9997187500000001,0.004584173691899117,0.91,1.0,44
0.9997124500000001,0.004618182867481535,0.91,1.0,45
0.9997187500000001,0.004584173691899117,0.91,1.0,46
0.99971875,0.004584173691899117,0.91,1.0,47
0.999718749999355,0.004584173691859545,0.91,1.0,48
0.9997187499999987,0.004584173691899251,0.91,1.0,49
0.99971875,0.0045841736918991165,0.91,1.0,50
0.99971874951616,0.004584173743777218,0.91,1.0,51
0.9997187479833549,0.0045841735717083686,0.91,1.0,52
0.9997187494235853,0.004584173752638263,0.91,1.0,53
0.9997186995999985,0.004584172809136997,0.91,1.0,54
0.9997187499193597,0.00458417368708236,0.91,1.0,55
0.9997187499193597,0.00458417368708236,0.91,1.0,56
0.999718749999355,0.004584173691859545,0.91,1.0,57
0.99971875,0.0045841736918991165,0.91,1.0,58
0.99971875,0.0045841736918991165,0.91,1.0,59
0.99971874991936,0.004584173686957317,0.91,1.0,60
0.99971875,0.004584173691899118,0.91,1.0,61
0.9997187499960983,0.0045841736916868376,0.91,1.0,62
0.9997187495968001,0.0045841736673032435,0.91,1.0,63
0.9997187499967743,0.004584173691701228,0.91,1.0,64
0.9997187499998452,0.004584173691889617,0.91,1.0,65
0.9997187499967743,0.004584173691701229,0.91,1.0,66
0.9997187499998452,0.004584173691889618,0.91,1.0,67
0.999718447599999,0.004584212580359427,0.91,1.0,68
0.9997187499838711,0.004584173690909789,0.91,1.0,69
0.99971117992,0.0046194743956159846,0.91,1.0,70
0.99971875,0.004584173691899117,0.91,1.0,71
0.9997174799199999,0.004585476543911183,0.91,1.0,72
0.9997183921599948,0.00458422013158561,0.91,1.0,73
0.9997187500000001,0.004584173691899117,0.91,1.0,74
0.999712447984,0.004618182745464802,0.91,1.0,75
0.99971875,0.0045841736918991165,0.91,1.0,76
0.9997187499999742,0.004584173691897532,0.91,1.0,77
0.9997187498786206,0.004584173684611087,0.91,1.0,78
0.999717489999999,0.004585477076586406,0.91,1.0,79
0.9997187479432605,0.004584173569287112,0.91,1.0,80
0.9997187500000001,0.004584173691899117,0.91,1.0,81
0.9997187500000001,0.004584173691899117,0.91,1.0,82
0.9997187500000001,0.004584173691899117,0.91,1.0,83
0.9997187500000001,0.004584173691899117,0.91,1.0,84
0.9997187500000001,0.004584173691899117,0.91,1.0,85
0.9997187500000001,0.004584173691899117,0.91,1.0,86
0.999718749999999,0.004584173691899052,0.91,1.0,87
0.9997186996,0.004584172809137089,0.91,1.0,88
0.999718749999969,0.004584173691897218,0.91,1.0,89
0.99971875,0.004584173691899116,0.91,1.0,90
0.99971875,0.004584173691899116,0.91,1.0,91
0.9997187500000001,0.004584173691899117,0.91,1.0,92
0.9997124500000001,0.0047427853627905175,0.90676,1.0,93
0.9997187499961293,0.004584173708597204,0.91,1.0,94
0.9997187499961293,0.004584173708597204,0.91,1.0,95
0.9997187499992259,0.004584173692529044,0.91,1.0,96
0.99971749,0.0045854770765864665,0.91,1.0,97
0.9997187499998711,0.004584173691891202,0.91,1.0,98
0.9997187500000001,0.004584173691899117,0.91,1.0,99
