mean,std,min,max,episode
0.9988972761227501,0.00980222665217339,0.91,1.0,0
0.9968513129794289,0.015967577486725865,0.91,1.0,1
0.9938286201745382,0.021695821314204385,0.8481604335636242,1.0,2
0.9891409285044754,0.026465026047563272,0.8546374042196264,1.0,3
0.985928825625227,0.02879480842144706,0.8443169440793643,1.0,4
0.9827364491242792,0.030138381156834895,0.849556174044531,1.0,5
0.9823807127748185,0.029515027099920335,0.8597765230203571,1.0,6
0.9798953298672511,0.030833765025868445,0.8182959031792625,1.0,7
0.9797304232415707,0.030465066096732715,0.8323335087028475,1.0,8
0.9793218542900501,0.03022396980870663,0.8204866089549734,1.0,9
0.9788275458081556,0.030451423330465865,0.8318758444439716,1.0,10
0.9788275458081556,0.030451423330465865,0.8318758444439716,1.0,11
0.9785284669723938,0.03043678603558466,0.8419429506301737,1.0,12
0.9784091411573519,0.030662826315587855,0.8070227292307021,1.0,13
0.978253415412635,0.03140552250601972,0.8302056929240822,1.0,14
0.9782437825517676,0.03134183024082463,0.835248753638544,1.0,15
0.9782024506303031,0.031879886574340106,0.8256826221699236,1.0,16
0.9782117074383174,0.03216178255308066,0.8274257959482244,1.0,17
0.9781593135794404,0.03145168789965907,0.822746073187291,1.0,18
0.9780752441173555,0.03026071413820029,0.8283173241288242,1.0,19
0.9780424512978766,0.030247549913972868,0.8466172430248639,1.0,20
0.9780652011375333,0.03174725968191145,0.7669508488917488,1.0,21
0.9780629665133005,0.031777939930616124,0.8055172763059034,1.0,22
0.9779507882805256,0.029616556649054743,0.8618425656659109,1.0,23
0.9779779208000017,0.030564330028588972,0.8473592917090397,1.0,24
0.978003830562304,0.03129130866528066,0.8356665573364156,1.0,25
0.9779674215666779,0.030255648720260733,0.8543373225059688,1.0,26
0.9779674215666779,0.030255648720260733,0.8543373225059688,1.0,27
0.9779555100850199,0.03008257855437221,0.8256654275954418,1.0,28
0.9779720817568289,0.03056060662394387,0.8308433387304295,1.0,29
0.9779199467680675,0.02921869550513556,0.8533565170579936,1.0,30
0.9780390043167432,0.03226822363071706,0.796608084107428,1.0,31
0.9780409546538852,0.03204414431777447,0.8302666472199498,1.0,32
